cell_type	cell_source	clean_cell_name	model	key	reference	comment
Thymus		Thymus	roadmap_15	roadmap_chromhmm/hg38_lift/E112_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Spleen		Spleen	roadmap_15	roadmap_chromhmm/hg38_lift/E113_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
A549_EtOH_0.02pct_Lung_Carcinoma		A549 Etoh 0.02Pct Lung Carcinoma	roadmap_15	roadmap_chromhmm/hg38_lift/E114_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Dnd41_TCell_Leukemia		Dnd41 Tcell Leukemia	roadmap_15	roadmap_chromhmm/hg38_lift/E115_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
GM12878_Lymphoblastoid		Gm12878 Lymphoblastoid	roadmap_15	roadmap_chromhmm/hg38_lift/E116_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HeLa-S3_Cervical_Carcinoma		Hela-S3 Cervical Carcinoma	roadmap_15	roadmap_chromhmm/hg38_lift/E117_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HepG2_Hepatocellular_Carcinoma		Hepg2 Hepatocellular Carcinoma	roadmap_15	roadmap_chromhmm/hg38_lift/E118_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HMEC_Mammary_Epithelial		Hmec Mammary Epithelial	roadmap_15	roadmap_chromhmm/hg38_lift/E119_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HSMM_Skeletal_Muscle_Myoblasts		Hsmm Skeletal Muscle Myoblasts	roadmap_15	roadmap_chromhmm/hg38_lift/E120_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM		Hsmmtube Skeletal Muscle Myotubes Derived From Hsmm	roadmap_15	roadmap_chromhmm/hg38_lift/E121_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
HUVEC_Umbilical_Vein_Endothelial_Cells		Huvec Umbilical Vein Endothelial Cells	roadmap_15	roadmap_chromhmm/hg38_lift/E122_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
K562_Leukemia		K562 Leukemia	roadmap_15	roadmap_chromhmm/hg38_lift/E123_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Monocytes-CD14+_RO01746		Monocytes-CD14+ Ro01746	roadmap_15	roadmap_chromhmm/hg38_lift/E124_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
NH-A_Astrocytes		Nh-A Astrocytes	roadmap_15	roadmap_chromhmm/hg38_lift/E125_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
NHDF-Ad_Adult_Dermal_Fibroblasts		Nhdf-Ad Adult Dermal Fibroblasts	roadmap_15	roadmap_chromhmm/hg38_lift/E126_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
NHEK-Epidermal_Keratinocytes		Nhek-Epidermal Keratinocytes	roadmap_15	roadmap_chromhmm/hg38_lift/E127_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
NHLF_Lung_Fibroblasts		Nhlf Lung Fibroblasts	roadmap_15	roadmap_chromhmm/hg38_lift/E128_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
Osteoblasts		Osteoblasts	roadmap_15	roadmap_chromhmm/hg38_lift/E129_15_coreMarks_hg38lift_mnemonics.bed.gz	hg38	lift
CD4-positive, alpha-beta T cell	cord blood	CD4+ Alpha-Beta T Cell	blueprint	blueprint_chromhmm/hg38/C00280H1_12_12_Blueprint_release_201608_segments.bed.gz	hg38	
